index,tag,name,B,H,W,C,P,Q,F,S,input_dtype,output_dtype,mean_microseconds,arithmetic_intensity,tflops,roofline_tflops,roofline_percent,ok
75,resnet,conv_2d_nchw_fchw_4x7x7x2048x1x1x1024_f16xf16xf32_stride2,4,7,7,2048,1,1,1024,2,f16,f32,254.0,100.1517,3.2365,1307.4,0.0025,True
76,resnet,conv_2d_nchw_fchw_4x7x7x512x3x3x512_f16xf16xf32_stride1,4,7,7,512,3,3,512,1,f16,f32,467.0,169.6409,1.9804,1307.4,0.0015,True
77,resnet,conv_2d_nchw_fchw_8x112x112x64x7x7x3_f16xf16xf32_stride2,8,112,112,64,7,7,3,2,f16,f32,5970.0,34.088,0.3163,1307.4,0.0002,True
78,resnet,conv_2d_nchw_fchw_8x56x56x64x3x3x64_f16xf16xf32_stride1,8,56,56,64,3,3,64,1,f16,f32,172.0,186.0667,10.754,1307.4,0.0082,True
79,resnet,conv_2d_nchw_fchw_8x28x28x128x3x3x128_f16xf16xf32_stride2,8,28,28,128,3,3,128,2,f16,f32,234.0,177.9291,7.9046,1307.4,0.006,True
80,resnet,conv_2d_nchw_fchw_8x28x28x512x1x1x256_f16xf16xf32_stride2,8,28,28,512,1,1,256,2,f16,f32,140.0,50.7854,11.7441,1307.4,0.009,True
81,resnet,conv_2d_nchw_fchw_8x28x28x128x3x3x128_f16xf16xf32_stride1,8,28,28,128,3,3,128,1,f16,f32,186.0,345.7764,9.9446,1307.4,0.0076,True
82,resnet,conv_2d_nchw_fchw_8x14x14x256x3x3x256_f16xf16xf32_stride2,8,14,14,256,3,3,256,2,f16,f32,306.0,285.8127,6.0447,1307.4,0.0046,True
83,resnet,conv_2d_nchw_fchw_8x14x14x1024x1x1x512_f16xf16xf32_stride2,8,14,14,1024,1,1,512,2,f16,f32,177.0,96.1226,9.2891,1307.4,0.0071,True
84,resnet,conv_2d_nchw_fchw_8x14x14x256x3x3x256_f16xf16xf32_stride1,8,14,14,256,3,3,256,1,f16,f32,273.0,482.4615,6.7754,1307.4,0.0052,True
85,resnet,conv_2d_nchw_fchw_8x7x7x512x3x3x512_f16xf16xf32_stride2,8,7,7,512,3,3,512,2,f16,f32,499.0,242.7871,3.7068,1307.4,0.0028,True
86,resnet,conv_2d_nchw_fchw_8x7x7x2048x1x1x1024_f16xf16xf32_stride2,8,7,7,2048,1,1,1024,2,f16,f32,273.0,134.5201,6.0226,1307.4,0.0046,True
87,resnet,conv_2d_nchw_fchw_8x7x7x512x3x3x512_f16xf16xf32_stride1,8,7,7,512,3,3,512,1,f16,f32,466.0,299.0623,3.9693,1307.4,0.003,True
88,unet,conv_2d_nhwc_hwcf_1x128x128x16x3x3x320_f16xf16xf32_stride1,1,128,128,16,3,3,320,1,f16,f32,76.0,69.8906,19.8678,1307.4,0.0152,True
89,unet,conv_2d_nhwc_hwcf_1x128x128x320x3x3x320_f16xf16xf32_stride1,1,128,128,320,3,3,320,1,f16,f32,294.0,897.9584,102.7176,1307.4,0.0786,True
90,unet,conv_2d_nhwc_hwcf_1x64x64x320x3x3x320_f16xf16xf32_stride2,1,64,64,320,3,3,320,2,f16,f32,245.0,421.7246,30.8153,1307.4,0.0236,True
91,unet,conv_2d_nhwc_hwcf_1x64x64x320x3x3x640_f16xf16xf32_stride1,1,64,64,320,3,3,640,1,f16,f32,258.0,890.3004,58.5252,1307.4,0.0448,True
92,unet,conv_2d_nhwc_hwcf_1x64x64x640x3x3x640_f16xf16xf32_stride1,1,64,64,640,3,3,640,1,f16,f32,464.0,1288.6694,65.084,1307.4,0.0498,True
93,unet,conv_2d_nhwc_hwcf_1x64x64x320x1x1x640_f16xf16xf32_stride1,1,64,64,320,1,1,640,1,f16,f32,78.0,124.1212,21.5093,1307.4,0.0165,True
94,unet,conv_2d_nhwc_hwcf_1x32x32x640x3x3x640_f16xf16xf32_stride2,1,32,32,640,3,3,640,2,f16,f32,464.0,484.8931,16.271,1307.4,0.0124,True
95,unet,conv_2d_nhwc_hwcf_1x32x32x640x3x3x1280_f16xf16xf32_stride1,1,32,32,640,3,3,1280,1,f16,f32,450.0,703.3437,33.5544,1307.4,0.0257,True
96,unet,conv_2d_nhwc_hwcf_1x32x32x1280x3x3x1280_f16xf16xf32_stride1,1,32,32,1280,3,3,1280,1,f16,f32,840.0,801.1736,35.9512,1307.4,0.0275,True
97,unet,conv_2d_nhwc_hwcf_1x32x32x640x1x1x1280_f16xf16xf32_stride1,1,32,32,640,1,1,1280,1,f16,f32,88.0,204.8,19.065,1307.4,0.0146,True
98,unet,conv_2d_nhwc_hwcf_1x32x32x2560x3x3x1280_f16xf16xf32_stride1,1,32,32,2560,3,3,1280,1,f16,f32,1640.0,861.0569,36.828,1307.4,0.0282,True
99,unet,conv_2d_nhwc_hwcf_1x32x32x2560x1x1x1280_f16xf16xf32_stride1,1,32,32,2560,1,1,1280,1,f16,f32,229.0,393.8462,29.3052,1307.4,0.0224,True
100,unet,conv_2d_nhwc_hwcf_1x32x32x1920x3x3x1280_f16xf16xf32_stride1,1,32,32,1920,3,3,1280,1,f16,f32,1170.0,840.1253,38.7167,1307.4,0.0296,True
101,unet,conv_2d_nhwc_hwcf_1x32x32x1920x1x1x1280_f16xf16xf32_stride1,1,32,32,1920,1,1,1280,1,f16,f32,185.0,357.2093,27.2063,1307.4,0.0208,True
102,unet,conv_2d_nhwc_hwcf_1x64x64x1280x3x3x1280_f16xf16xf32_stride1,1,64,64,1280,3,3,1280,1,f16,f32,1060.0,1960.5252,113.9584,1307.4,0.0872,True
