index,tag,name,vmfb_hash,M,N,K,dtype,tA,tB,runtime_dim,mean_microseconds,arithmetic_intensity,tflops,ok
98,llama13bskinny,gemm_3456_32_5120_f16_f32_tB,ddf50fb5a5b656916f2d2013a685e139,3456,32,5120,f16,N,T,,80.0,31.5113,14.1558,True
99,llama13bskinny,gemm_5120_2_1728_f16_f32_tB,441481be16ba3088c681c4358b990285,5120,2,1728,f16,N,T,,59.0,1.9969,0.5998,True
100,llama13bskinny,gemm_5120_4_1728_f16_f32_tB,da9736cc298d7834d1b102846176cf98,5120,4,1728,f16,N,T,,71.0,3.9877,0.9969,True
101,llama13bskinny,gemm_5120_8_1728_f16_f32_tB,6310e181a040881b1f514ab89dffe105,5120,8,1728,f16,N,T,,64.0,7.9508,2.2118,True
102,llama13bskinny,gemm_5120_16_1728_f16_f32_tB,85858ad6d5b1131cbec789c7b06630fe,5120,16,1728,f16,N,T,,58.0,15.8043,4.8813,True
103,llama13bskinny,gemm_5120_32_1728_f16_f32_tB,4a853b8280ec1bf3014eea95aea67cce,5120,32,1728,f16,N,T,,66.0,31.2266,8.5793,True
104,llama70bskinny,gemm_32000_2_8192_f16_f32_tB,0220890542388c4a8f1f7b08d66ae4bf,32000,2,8192,f16,N,T,,235.0,1.9994,4.462,True
105,llama70bskinny,gemm_32000_4_8192_f16_f32_tB,3c391fe256182a3347848518c02f2394,32000,4,8192,f16,N,T,,399.0,3.9975,5.256,True
106,llama70bskinny,gemm_32000_8_8192_f16_f32_tB,b72fb982ab7568b0770989feccbf967b,32000,8,8192,f16,N,T,,209.0,7.9902,20.0684,True
107,llama70bskinny,gemm_32000_16_8192_f16_f32_tB,2ab3b43143a9c3550276869b4aa5ea4f,32000,16,8192,f16,N,T,,207.0,15.9608,40.5247,True
108,llama70bskinny,gemm_32000_32_8192_f16_f32_tB,c1f51d9fc82664ba49bca986d1f3533f,32000,32,8192,f16,N,T,,225.0,31.8438,74.5654,True
109,llama70bskinny,gemm_10240_2_8192_f16_f32_tB,00cfa4cc56a462d5f38bcf717f70401a,10240,2,8192,f16,N,T,,114.0,1.9991,2.9434,True
110,llama70bskinny,gemm_10240_4_8192_f16_f32_tB,a501fda7560f1479d899b6076d820200,10240,4,8192,f16,N,T,,182.0,3.9965,3.6873,True
111,llama70bskinny,gemm_10240_8_8192_f16_f32_tB,113cee9bd11fc621dbfe4253c94c64ae,10240,8,8192,f16,N,T,,106.0,7.986,12.662,True
112,llama70bskinny,gemm_10240_16_8192_f16_f32_tB,58d84d3c5ed050495377f0badd2463b0,10240,16,8192,f16,N,T,,95.0,15.9439,28.2564,True
113,llama70bskinny,gemm_10240_32_8192_f16_f32_tB,7c165ee5cccdb89ee4ec880b99342f0a,10240,32,8192,f16,N,T,,107.0,31.7766,50.1749,True
114,llama70bskinny,gemm_8192_2_8192_f16_f32_tB,77bbecba14ae3ec43ae03c3bdd90b283,8192,2,8192,f16,N,T,,102.0,1.999,2.6317,True
115,llama70bskinny,gemm_8192_4_8192_f16_f32_tB,76948abd942e378d72afc3ad47ad5f56,8192,4,8192,f16,N,T,,147.0,3.9961,3.6522,True
116,llama70bskinny,gemm_8192_8_8192_f16_f32_tB,d074111f7664d97c8ec218bf37c9e738,8192,8,8192,f16,N,T,,105.0,7.9844,10.2261,True
117,llama70bskinny,gemm_8192_16_8192_f16_f32_tB,8cf4247995ad8e5af923d38bf573739c,8192,16,8192,f16,N,T,,100.0,15.9377,21.4748,True
118,llama70bskinny,gemm_8192_32_8192_f16_f32_tB,53238c4ad834afd5913d509d3e911c45,8192,32,8192,f16,N,T,,95.0,31.7519,45.2102,True
119,llama70bskinny,gemm_57344_2_8192_f16_f32_tB,1394fde5f0593c617839430972a01db2,57344,2,8192,f16,N,T,,363.0,1.9994,5.1764,True
120,llama70bskinny,gemm_57344_4_8192_f16_f32_tB,70264ec42b18b3eb6f45da65c003da66,57344,4,8192,f16,N,T,,668.0,3.9978,5.6259,True
121,llama70bskinny,gemm_57344_8_8192_f16_f32_tB,be7feb8d5147ae6b666b983290f037d2,57344,8,8192,f16,N,T,,394.0,7.9911,19.0766,True
122,llama70bskinny,gemm_57344_16_8192_f16_f32_tB,79a94eb99a74d62726d5a460a9d8289a,57344,16,8192,f16,N,T,,330.0,15.9644,45.5527,True
123,llama70bskinny,gemm_57344_32_8192_f16_f32_tB,c379ee47606f613279fbbdc6f1255928,57344,32,8192,f16,N,T,,315.0,31.8578,95.4437,True
124,llama70bskinny,gemm_8192_2_28672_f16_f32_tB,6eb640f42c1b812adc488597e499ebe8,8192,2,28672,f16,N,T,,207.0,1.9994,4.5388,True
125,llama70bskinny,gemm_8192_4_28672_f16_f32_tB,28317d64ad45f993b30b4d0bd2f3d5e3,8192,4,28672,f16,N,T,,365.0,3.9975,5.1481,True
126,llama70bskinny,gemm_8192_8_28672_f16_f32_tB,40874e412121aa5da726f406b8a266cf,8192,8,28672,f16,N,T,,338.0,7.99,11.1186,True
127,llama70bskinny,gemm_8192_16_28672_f16_f32_tB,651d821283f0d68dc0dc171e4af135ec,8192,16,28672,f16,N,T,,234.0,15.9599,32.1205,True
128,llama70bskinny,gemm_8192_32_28672_f16_f32_tB,7efee4c74091004264fafc307fd4eae6,8192,32,28672,f16,N,T,,249.0,31.8401,60.371,True
129,llama70bskinny,gemm_16000_2_8192_f16_f32_tB,00aff14232ce07111e7e62d45fed9891,16000,2,8192,f16,N,T,,149.0,1.9993,3.5187,True
130,llama70bskinny,gemm_16000_4_8192_f16_f32_tB,074fef06c14b6f21727e3455f97141ea,16000,4,8192,f16,N,T,,233.0,3.997,4.5003,True
