index,tag,name,vmfb_hash,M,N,K,dtype,tA,tB,runtime_dim,mean_microseconds,arithmetic_intensity,tflops,ok
68,llama13bskinny,gemm_1920_16_5120_f16_f32_tB,41cf719ae4d08befcc119eacc137bf2f,1920,16,5120,f16,N,T,,125.0,15.8187,2.5166,True
69,llama13bskinny,gemm_1920_32_5120_f16_f32_tB,9d528e937c8e37b9988846bd1c6eaeaf,1920,32,5120,f16,N,T,,129.0,31.2831,4.8771,True
70,llama13bskinny,gemm_3456_2_5120_f16_f32_tB,4f8935d220ea6adc1319318a28dfaa1b,3456,2,5120,f16,N,T,,154.0,1.9981,0.4596,True
71,llama13bskinny,gemm_3456_4_5120_f16_f32_tB,758073971a1fdb73d76eda06ceee6c94,3456,4,5120,f16,N,T,,147.0,3.9923,0.963,True
72,llama13bskinny,gemm_3456_8_5120_f16_f32_tB,8e92fc438d33357146ebc9b5fbfd669d,3456,8,5120,f16,N,T,,149.0,7.9691,1.9001,True
73,llama13bskinny,gemm_3456_16_5120_f16_f32_tB,fde8bd46123405adc939bc208e4e3163,3456,16,5120,f16,N,T,,149.0,15.8769,3.8002,True
74,llama13bskinny,gemm_3456_32_5120_f16_f32_tB,13e1a8979dfc74af377279ad8afb80f6,3456,32,5120,f16,N,T,,165.0,31.5113,6.8634,True
75,llama70bskinny,gemm_32000_2_8192_f16_f32_tB,abc9d5267eeaae69c29a4ab260149925,32000,2,8192,f16,N,T,,282.0,1.9994,3.7184,True
76,llama70bskinny,gemm_32000_4_8192_f16_f32_tB,1fa9d6d6c025ab5d4d54b8310a9dbe1d,32000,4,8192,f16,N,T,,277.0,3.9975,7.5709,True
77,llama70bskinny,gemm_32000_8_8192_f16_f32_tB,77f8286e40b24075b74b054eda8fdda7,32000,8,8192,f16,N,T,,274.0,7.9902,15.3077,True
78,llama70bskinny,gemm_32000_16_8192_f16_f32_tB,4ea1766e60eede0ad54005c85fb492b5,32000,16,8192,f16,N,T,,281.0,15.9608,29.8527,True
79,llama70bskinny,gemm_32000_32_8192_f16_f32_tB,1f8916f5ca91f1bc47182284d27ba0d6,32000,32,8192,f16,N,T,,314.0,31.8438,53.4306,True
80,llama70bskinny,gemm_10240_2_8192_f16_f32_tB,6af74b67af5ca0617e2c89c292911ea6,10240,2,8192,f16,N,T,,230.0,1.9991,1.4589,True
81,llama70bskinny,gemm_10240_4_8192_f16_f32_tB,656e4c8117a6ee9d353ee7e33171f688,10240,4,8192,f16,N,T,,223.0,3.9965,3.0094,True
82,llama70bskinny,gemm_10240_8_8192_f16_f32_tB,916ecbd945cc05ebad53a0283d41f49d,10240,8,8192,f16,N,T,,230.0,7.986,5.8356,True
83,llama70bskinny,gemm_10240_16_8192_f16_f32_tB,c840e759e96b1ddd8555aea07bcb1a18,10240,16,8192,f16,N,T,,230.0,15.9439,11.6711,True
84,llama70bskinny,gemm_10240_32_8192_f16_f32_tB,bf46051071fef9cb6a4c238cd93b991d,10240,32,8192,f16,N,T,,239.0,31.7766,22.4632,True
85,llama70bskinny,gemm_8192_2_8192_f16_f32_tB,d888ce51504b9121fb37c2d7d8b6d646,8192,2,8192,f16,N,T,,228.0,1.999,1.1773,True
86,llama70bskinny,gemm_8192_4_8192_f16_f32_tB,6797b8655ea83a4d44e2b6973e02de03,8192,4,8192,f16,N,T,,231.0,3.9961,2.3241,True
