index,tag,name,B,M,N,K1,K2,dtype,mean_microseconds,arithmetic_intensity,tflops,ok
88,llm,attention_bmnk1k2_96x16384x64x64x16384xf16,96,16384,64,64,16384,f16,12600.0,8192.0,523.577,True
89,llm,attention_bmnk1k2_96x16384x128x128x16384xf16,96,16384,128,128,16384,f16,24600.0,8192.0,536.3471,True
90,llm,attention_bmnk1k2_128x1024x64x64x1024xf16,128,1024,64,64,1024,f16,153.0,512.0,224.5735,True
91,llm,attention_bmnk1k2_128x1024x128x128x1024xf16,128,1024,128,128,1024,f16,222.0,512.0,309.5472,True
92,llm,attention_bmnk1k2_128x2048x64x64x2048xf16,128,2048,64,64,2048,f16,343.0,1024.0,400.6967,True
93,llm,attention_bmnk1k2_128x2048x128x128x2048xf16,128,2048,128,128,2048,f16,624.0,1024.0,440.5095,True
94,llm,attention_bmnk1k2_128x4096x64x64x4096xf16,128,4096,64,64,4096,f16,1150.0,2048.0,478.0485,True
95,llm,attention_bmnk1k2_128x4096x128x128x4096xf16,128,4096,128,128,4096,f16,2230.0,2048.0,493.0545,True
96,llm,attention_bmnk1k2_128x8192x64x64x8192xf16,128,8192,64,64,8192,f16,4220.0,4096.0,521.0956,True
97,llm,attention_bmnk1k2_128x8192x128x128x8192xf16,128,8192,128,128,8192,f16,8210.0,4096.0,535.6939,True
98,llm,attention_bmnk1k2_128x16384x64x64x16384xf16,128,16384,64,64,16384,f16,16500.0,8192.0,533.0965,True
99,llm,attention_bmnk1k2_128x16384x128x128x16384xf16,128,16384,128,128,16384,f16,32400.0,8192.0,542.9687,True
100,llm,attention_bmnk1k2_192x1024x64x64x1024xf16,192,1024,64,64,1024,f16,190.0,512.0,271.2611,True
101,llm,attention_bmnk1k2_192x1024x128x128x1024xf16,192,1024,128,128,1024,f16,304.0,512.0,339.0764,True
102,llm,attention_bmnk1k2_192x2048x64x64x2048xf16,192,2048,64,64,2048,f16,504.0,1024.0,409.0445,True
103,llm,attention_bmnk1k2_192x2048x128x128x2048xf16,192,2048,128,128,2048,f16,964.0,1024.0,427.7146,True
104,llm,attention_bmnk1k2_192x4096x64x64x4096xf16,192,4096,64,64,4096,f16,1720.0,2048.0,479.4382,True
